Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"wagerDate = """"",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
"wagerAmount = """"",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
transacionIsVisible = false,Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
detailTestObj = new com.kms.katalon.core.testobject.TestObject(WagerDesc),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.007s,PASSED
wagerStatusTestObj = new com.kms.katalon.core.testobject.TestObject(WagerDesc),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
wagerIdObj = new com.kms.katalon.core.testobject.TestObject(WagerIdSpan),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
modalOscTestObj = new com.kms.katalon.core.testobject.TestObject(modalOscureScreen),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
dateTransactionObj = new com.kms.katalon.core.testobject.TestObject(dataTransaccitonsObjects),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
"wagerIdObj.addProperty(""css"", EQUALS, "".modal-content .modal-body #tdm_accordion div.accordion-group.borderedWagerDiv div.accordion-heading.wtr_headerDiv div.wpr_headerWagerDiv span"")",Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.008s,PASSED
documentIdObj = new com.kms.katalon.core.testobject.TestObject(DocumentIdData),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.001s,PASSED
wagerIdObjectPlusSingObj = new com.kms.katalon.core.testobject.TestObject(wagerIdObjectPlusSing),Chrome 70.0.3538.110,,2018-12-11 15:47:06,2018-12-11 15:47:06,0.000s,PASSED
